WBAN|WMO|CallSign|ClimateDivisionCode|ClimateDivisionStateCode|ClimateDivisionStationCode|Name|State|Location|Latitude|Longitude|GroundHeight|StationHeight|Barometer|TimeZone
03811||MKL|04|40|4556|JACKSON|TN|MCKELLAR-SIPES RGNL ARPT|35.593|-88.917|430|422|423|-6 
03812|72315|AVL|01|31|0300|ASHEVILLE|NC|ASHEVILLE REGIONAL AIRPORT|35.432|-82.538|2117|2170|2174|-5 
03813|72217|MCN|05|09|5443|MACON|GA|MIDDLE GEORGIA REGIONAL AIRPORT|32.688|-83.654|342|362|359|-5 
03816|72435|PAH|01|15|6110|PADUCAH|KY|BARKLEY REGIONAL AIRPORT|37.056|-88.774|404|413|394|-6 
03818||MAI||08|5367|MARIANNA|FL|MARIANNA MUNICIPAL AIRPORT|30.836|-85.184|109|113|109|-6 
03820|72218|AGS|06|09|0495|AUGUSTA|GA|AUGUSTA REGIONAL AT BUSH FIELD AP|33.370|-81.965|132|148|163|-5 
03821||LGC||||LAGRANGE|GA|LAGRANGE-CALLAWAY AIRPORT|33.014|-85.067|693|693||-5 
03822|72207|SAV|09|09|7847|SAVANNAH|GA|SAVANNAH/HILTON HEAD INTL AIRPORT|32.119|-81.202|25|51|143|-5 
03832||WDR||||WINDER|GA|WINDER-BORROW AIRPORT|33.982|-83.667|943|943||-5 
03841||OKRT|01|40|6750|OAK RIDGE|TN|ATDL|36.000|-84.250|880|880|880|-5 
03847||CSV|02|40|2197|CROSSVILLE|TN|MEMO-WHITON FIELD AIRPORT|35.951|-85.085|1858|1870|1872|-6 
03849|72329|LOZ|04|15|4898|LONDON|KY|LDON-CRBN APT-MGEE FLD APT|37.087|-84.077|1181|1211|1192|-5 
03850||OZR||||FORT RUCKER/OZARK|AL|CAIRNS ARMY AIRFIELD (FORT RUCKER)|31.278|-85.713|0|301|0|-6 
03852||HRT||||MARY ESTHER|FL|HURLBURT FIELD AIRPORT|30.429|-86.689|0|38|0|-6 
03853|722066|NRB||||MAYPORT|FL|MAYPORT NAF|30.400|-81.417|16|14|24|-5 
03855|722225|NPA||||PENSACOLA|FL|PENSACOLA NAS|30.350|-87.317|20|30|36|-6 
03856|72323|HSV|01|01|4064|HUNTSVILLE|AL|HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT|34.644|-86.786|622|644|645|-6 
03858||MMT||||EASTOVER|SC|MCENTIRE AIR NATIONAL GUARD STATION|33.918|-80.800|0|252|0|-5 
03859||BLF|05|46|0921|BLUEFIELD|WV|MERCER COUNTY AIRPORT|37.296|-81.208|2863|2867|2866|-5 
03860|72425|HTS|03|46|4393|HUNTINGTON|WV|TRI-STATE/M.J.FERGUSON FIELD AIRPORT|38.382|-82.555|824|838|825|-5 
03865||MWA||||MARION|IL|WILLIAMSON COUNTY RGNL APT|37.753|-89.001|472|472||-6 
03866|722345|NMM||||MERIDIAN|MS|MERIDIAN NAS/MC CAIN FD AP|32.550|-88.567|288|317|293|-6 
03868||HUF||||TERRE HAUTE|IN|TER HUTE INTL-HULMAN FD AP|39.452|-87.309|570|593|591|-5 
03870|72312|GSP|02|38|3747|GREER|SC|GREENVILLE-SPARTANBURG INTL AIRPORT|34.899|-82.219|935|971|943|-5 
03872|72412|BKW|04|46|0582|BECKLEY|WV|RALEIGH COUNTY MEMORIAL AIRPORT|37.795|-81.125|2482|2514|2508|-5 
03875||LHW||||FORT STEWART (HINESVILLE)|GA|WRIGHT AAF AIRPORT|31.889|-81.562|0|46|0|-5 
03878||TOI||||TROY|AL|TROY MUNICIPAL AIRPORT|31.861|-86.012|385|397|390|-6 
03879||SLO||||SALEM|IL|SALEM-LECKRONE AIRPORT|38.643|-88.951|573|573||-6 
03881|72229|CKL|03|01|1525|CENTREVILLE-BRENT|AL|NWS METEOROLOGICAL OBSY|32.900|-87.250|453|453|453|-6 
03882||PFN||||PANAMA CITY|FL|PANAMA CITY-BAY CO. INT AP|30.212|-85.683|10|18|42|-6 
03883|72228|BIRA|02|01|0829|BIRMINGHAM C.O.|AL|11 WEST OXMOOR RD|33.467|-86.833|678|712|712|-6 
03887||DEC||||DECATUR|IL|DECATUR AIRPORT|39.984|-88.866|673|679|681|-6 
03888||FTY||||ATLANTA|GA|FULTON CO-BROWN FLD ARPT|33.779|-84.521|801|841|859|-5 
03889||JKL|04|15|4202|JACKSON|KY|JULIAN CARROLL AIRPORT|37.591|-83.314|1330|1357|1356|-5 
03892||AUO||||AUBURN|AL|ABRN-OPLKA R G PITTS ARPT|32.616|-85.433|776|776||-6 
03893||BMG||||BLOOMINGTON|IN|MONROE COUNTY AIRPORT|39.144|-86.617|842|847|848|-5 
03894||CKV||||CLARKSVILLE|TN|OUTLAW FIELD AIRPORT|36.622|-87.415|560|550|544|-6 
03896||GAD||||GADSDEN|AL|GADSDEN MUNICIPAL AIRPORT|33.973|-86.084|569|569||-6 
03901||GGG||41|5342|LONGVIEW|TX|EAST TEXAS REGIONAL ARPT|32.385|-94.711|348|373|367|-6 
03902||GRK||||FORT HOOD/KILLEEN|TX|ROBERT GRAY AFF AIRPORT|31.070|-97.822|1020|1015|0|-6 
03904||CLL|04|41|1889|COLLEGE STATION|TX|EASTERWOOD FIELD AIRPORT|30.588|-96.364|306|328|329|-6 
03908||HDC||||HAMMOND|LA|HAMMOND MUNICIPAL AIRPORT|30.521|-90.417|44|44||-6 
03914||CGZ||||CASA GRANDE|AZ|CASA GRANDE MUNICIPAL ARPT|32.955|-111.767|1463|1463||-7 
03918||FLP||||FLIPPIN|AR|MARION COUNTY RGNL AIRPORT|36.291|-92.584|719|719||-6 
03919||SLN|05|14|7160|SALINA|KS|SALINA MUNICIPAL AIRPORT|38.813|-97.661|1269|1282|1259|-6 
03923||IAB||||WICHITA|KS|MCCONNELL AFB AIRPORT|37.623|-97.268|0|1371|0|-6 
03927|72259|DFW|03|41|2242|DALLAS-FORT WORTH|TX|DALLAS/FT WORTH INTERNATIONAL AP|32.896|-97.041|547|596|562|-6 
03928|72450|ICT|08|14|8830|WICHITA|KS|WICHITA MID-CONTINENT AIRPORT|37.647|-97.429|1320|1340|1341|-6 
03929||GVW||||KANSAS CITY|MO|RICHARD GEBAUR|38.835|-94.561|1090|1090|1090|-6 
03930||LRF||||JACKSONVILLE|AR|LITTLE ROCK AFB AIRPORT|34.916|-92.146|0|311|0|-6 
03931||POE||||FORT POLK|LA|POLK ARMY AIRFIELD|31.045|-93.192|0|330|0|-6 
03932||CSM||||CLINTON|OK|CLINTON-SHERMAN AIRPORT|35.340|-99.200|1921|1955|1932|-6 
03933||HLR||||FORT HOOD (KILLEEN)|TX|HOOD AAF AIRPORT|31.134|-97.713|880|875|0|-6 
03935||CGI|05|23|1289|CAPE GIRARDEAU|MO|CAPE GIRARDEAU RGNL ARPT|37.225|-89.571|336|352|339|-6 
03936||MHK||14|4979|MANHATTAN|KS|MANHATTAN REGIONAL AIRPORT|39.135|-96.678|1052|1070|1045|-6 
03937|72240|LCH|07|16|5078|LAKE CHARLES|LA|LAKE CHARLES REGIONAL AIRPORT|30.125|-93.228|9|9|17|-6 
03938||TBN||||FORT LEONARD WOOD|MO|WAYNESVILLE REGIONAL AIRPORT AT FORNEY FIELD|37.742|-92.141|0|1159|0|-6 
03940|72235|JAN|05|22|4472|JACKSON|MS|JACKSON INTERNATIONAL AIRPORT|32.320|-90.078|300|331|296|-6 
03945|72445|COU|02|23|1791|COLUMBIA|MO|COLUMBIA REGIONAL AIRPORT|38.817|-92.218|893|898|884|-6 
03947|72446|MCI|01|23|4358|KANSAS CITY|MO|KANSAS CITY INTERNATIONAL AIRPORT|39.299|-94.718|976|1025|1008|-6 
03948||OUN||||NORMAN|OK|UNIVERSITY OF OKLAHOMA WESTHEIMER AIRPORT|35.237|-97.451|1182|1182||-6 
03949||AQV||||FORT POLK|LA|PEASON RIDGE|31.400|-93.283|0|363|0|-6 
03950||LAW||||LAWTON|OK|LAWTON-FORT SILL RGNL ARPT|34.568|-98.416|1075|1108|1110|-6 
03952|72340|LZK|05|03|5320|NORTH LITTLE ROCK|AR|NORTH LITTLE ROCK AIRPORT|34.833|-92.250|563|563|565|-6 
03953||JBR||||JONESBORO|AR|JONESBORO MUNICIPAL ARPT|35.831|-90.646|258|274|264|-6 
03954||PWA||||OKLAHOMA CITY|OK|WILEY POST AIRPORT|35.534|-97.647|1279|1299|1302|-6 
03957||P28|08|14|5173|MEDICINE LODGE|KS|MEDICINE LODGE|37.284|-98.553|1540|1540|1546|-6 
03958||ALN||||ALTON/ST LOUIS|IL|ST LOUIS REGIONAL AIRPORT|38.890|-90.046|0|544|0|-6 
03959||BVO||||BARTLESVILLE|OK|BARTLESVILLE MUNICIPAL AIRPORT|36.762|-96.011|0|713|0|-6 
03960||CPS||||CAHOKIA/ST.LOUIS|IL|ST LOUIS DOWNTOWN AIRPORT|38.571|-90.157|408|413|416|-6 
03961||HEZ||||NATCHEZ|MS|HRDY-ANRES FD NTCHZ-ADAMS COUNTY AIRPORT|31.614|-91.297|272|272||-6 
03962||HOT||||HOT SPRINGS|AR|MEMORIAL FIELD AIRPORT|34.478|-93.096|508|555|535|-6 
03963||JEF||||JEFFERSON CITY|MO|JEFFERSON CITY MEMO ARPT|38.591|-92.156|552|573|555|-6 
03965||SWO||||STILLWATER|OK|STILLWATER REGIONAL ARPT|36.160|-97.086|965|984|956|-6 
03966||SUS||23|7964|ST LOUIS|MO|SPIRIT OF ST LOUIS AIRPORT|38.657|-90.656|460|462|491|-6 
03967||OJC||||OLATHE|KS|JOHNSON CO EXECUTIVE ARPT|38.850|-94.739|1078|1072|1072|-6 
03968||HYS||||HAYS|KS|HAYS REGIONAL AIRPORT|38.845|-99.277|1998|1998||-6 
03969|72260|SEP||41|8623|STEPHENVILLE|TX|CLARK FIELD MUNI AIRPORT|32.215|-98.178|1321|1321||-6 
03970||ADS||||DALLAS|TX|ADDISON AIRPORT|32.969|-96.836|0|644|0|-6 
03971||RBD||||DALLAS|TX|DALLAS EXECUTIVE AIRPORT|32.681|-96.868|650|671|678|-6 
03972||ILE||41|4792|KILLEEN|TX|KILLEEN MUNICIPAL AIRPORT|31.086|-97.686|848|848||-6 
03973||ASG||||SPRINGDALE|AR|SPRINGDALE MUNICIPAL ARPT|36.176|-94.117|1353|1353||-6 
03974||AAO||14|8841|WICHITA|KS|COLONEL JAMES JABARA ARPT|37.750|-97.219|1412|1420|1427|-6 
03975||POF||||POPLAR BLUFF|MO|POPLAR BUFF MUNICIAL ARPT|36.773|-90.325|329|328|330|-6 
03976||DRI||||DE RIDDER|LA|BEAUREGARD REGIONAL AIRPORT|30.832|-93.340|0|202|0|-6 
03978||VBT||||BENTONVILLE|AR|BENTONVILLE MUNI/LOUIS M THADEN FIELD AIRPORT|36.346|-94.217|1296|1296||-6 
03981||FDR||||FREDERICK|OK|FREDERICK MUNICIPAL AIRPT|34.352|-98.984|1246|1255|1241|-6 
03985||FWS||||FORT WORTH|TX|FORT WORTH SPINKS AIRPORT|32.565|-97.308|0|700|0|-6 
03991||DTO||||DENTON|TX|DENTON MUNICIPAL AIRPORT|33.206|-97.199|651|642|653|-6 
03994||DMO||||SEDALIA|MO|SEDALIA MEMORIAL AIRPORT|38.704|-93.183|895|905|902|-6 
03996||TVR||||TALLULAH/VICKSBURG|MS|VICKSBURG/TALLULAH RGNL AP|32.348|-91.030|103|86|88|-6 
03997||LWC||||LAWRENCE|KS|LAWRENCE MUNICIPAL AIRPORT|39.008|-95.212|827|832|833|-6 
03998||PPF||||PARSONS|KS|TRI-CITY AIRPORT|37.328|-95.504|869|899|901|-6 
03999||BMQ||||BURNET|TX|BURNET MUNICIPAL CRADOCK FIELD AIRPORT|30.741|-98.235|1276|1288|1278|-6 
04109||P69||||ELK CITY|ID|ELK CITY|46.144|-115.596|1575|1480|1481|-8 
04110||JER||||JEROME|ID|JEROME COUNTY AIRPORT|42.727|-114.456|4017|4048|4012|-7 
